======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 5000
Palabras únicas: 3750
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
mitsubishi                     2                 0.04%
mixer                          2                 0.04%
mn                             2                 0.04%
modem                          2                 0.04%
monetary                       2                 0.04%
mongolia                       2                 0.04%
monitoring                     2                 0.04%
monroe                         2                 0.04%
moon                           2                 0.04%
moral                          2                 0.04%
mortgage                       2                 0.04%
mounting                       2                 0.04%
mounts                         2                 0.04%
movies                         2                 0.04%
moving                         2                 0.04%
murder                         2                 0.04%
museum                         2                 0.04%
muze                           2                 0.04%
myspace                        2                 0.04%
n                              2                 0.04%
nationally                     2                 0.04%
naval                          2                 0.04%
navigate                       2                 0.04%
navigator                      2                 0.04%
navy                           2                 0.04%
nearby                         2                 0.04%
nearly                         2                 0.04%
negotiation                    2                 0.04%
network                        2                 0.04%
newbie                         2                 0.04%
newer                          2                 0.04%
newscom                        2                 0.04%
newspapers                     2                 0.04%
ni                             2                 0.04%
niagara                        2                 0.04%
nice                           2                 0.04%
nicholas                       2                 0.04%
nightmare                      2                 0.04%
nj                             2                 0.04%
not                            2                 0.04%
notes                          2                 0.04%
november                       2                 0.04%
nuclear                        2                 0.04%
numeric                        2                 0.04%
nurses                         2                 0.04%
nursing                        2                 0.04%
objective                      2                 0.04%
obligations                    2                 0.04%
occasion                       2                 0.04%
occurrence                     2                 0.04%
oclc                           2                 0.04%
oct                            2                 0.04%
offset                         2                 0.04%
oil                            2                 0.04%
ol                             2                 0.04%
olive                          2                 0.04%
operates                       2                 0.04%
operating                      2                 0.04%
opposite                       2                 0.04%
opt                            2                 0.04%
optics                         2                 0.04%
oral                           2                 0.04%
orbit                          2                 0.04%
order                          2                 0.04%
ordered                        2                 0.04%
ordinary                       2                 0.04%
organic                        2                 0.04%
orientation                    2                 0.04%
other                          2                 0.04%
ought                          2                 0.04%
ours                           2                 0.04%
outer                          2                 0.04%
outline                        2                 0.04%
outsourcing                    2                 0.04%
packages                       2                 0.04%
packed                         2                 0.04%
packing                        2                 0.04%
packs                          2                 0.04%
pad                            2                 0.04%
pages                          2                 0.04%
paid                           2                 0.04%
painted                        2                 0.04%
painting                       2                 0.04%
pair                           2                 0.04%
pam                            2                 0.04%
parade                         2                 0.04%
parish                         2                 0.04%
parks                          2                 0.04%
partially                      2                 0.04%
parties                        2                 0.04%
past                           2                 0.04%
patent                         2                 0.04%
patents                        2                 0.04%
patrick                        2                 0.04%
patrol                         2                 0.04%
pavilion                       2                 0.04%
payable                        2                 0.04%
pda                            2                 0.04%
pediatric                      2                 0.04%
penetration                    2                 0.04%
perfectly                      2                 0.04%
performances                   2                 0.04%
peripherals                    2                 0.04%
permanent                      2                 0.04%
permission                     2                 0.04%
permissions                    2                 0.04%
persian                        2                 0.04%
pete                           2                 0.04%
peter                          2                 0.04%
pgp                            2                 0.04%
ph                             2                 0.04%
pharmaceutical                 2                 0.04%
pharmacology                   2                 0.04%
photo                          2                 0.04%
photograph                     2                 0.04%
photos                         2                 0.04%
physical                       2                 0.04%
physiology                     2                 0.04%
pic                            2                 0.04%
picking                        2                 0.04%
picks                          2                 0.04%
pictures                       2                 0.04%
pie                            2                 0.04%
piece                          2                 0.04%
pig                            2                 0.04%
pill                           2                 0.04%
pink                           2                 0.04%
pipes                          2                 0.04%
pitch                          2                 0.04%
pixels                         2                 0.04%
planners                       2                 0.04%
playlist                       2                 0.04%
plc                            2                 0.04%
pocket                         2                 0.04%
police                         2                 0.04%
porsche                        2                 0.04%
portfolio                      2                 0.04%
portrait                       2                 0.04%
portraits                      2                 0.04%
possibilities                  2                 0.04%
possibly                       2                 0.04%
pot                            2                 0.04%
powerpoint                     2                 0.04%
pp                             2                 0.04%
prague                         2                 0.04%
precious                       2                 0.04%
prediction                     2                 0.04%
pregnancy                      2                 0.04%
prepaid                        2                 0.04%
present                        2                 0.04%
presentation                   2                 0.04%
presents                       2                 0.04%
press                          2                 0.04%
pricing                        2                 0.04%
prime                          2                 0.04%
prince                         2                 0.04%
princeton                      2                 0.04%
prior                          2                 0.04%
privacy                        2                 0.04%
proceeding                     2                 0.04%
producing                      2                 0.04%
product                        2                 0.04%
programmers                    2                 0.04%
projector                      2                 0.04%
provider                       2                 0.04%
providers                      2                 0.04%
proxy                          2                 0.04%
prozac                         2                 0.04%
pulse                          2                 0.04%
purchase                       2                 0.04%
purpose                        2                 0.04%
push                           2                 0.04%
pushed                         2                 0.04%
putting                        2                 0.04%
qualification                  2                 0.04%
qualified                      2                 0.04%
qualify                        2                 0.04%
quarters                       2                 0.04%
que                            2                 0.04%
queens                         2                 0.04%
quick                          2                 0.04%
rail                           2                 0.04%
rain                           2                 0.04%
rape                           2                 0.04%
rating                         2                 0.04%
readings                       2                 0.04%
reasoning                      2                 0.04%
recognised                     2                 0.04%
recommend                      2                 0.04%
records                        2                 0.04%
reel                           2                 0.04%
ref                            2                 0.04%
refinance                      2                 0.04%
reflected                      2                 0.04%
refurbished                    2                 0.04%
regardless                     2                 0.04%
regions                        2                 0.04%
registered                     2                 0.04%
remainder                      2                 0.04%
remark                         2                 0.04%
remarkable                     2                 0.04%
remote                         2                 0.04%
renaissance                    2                 0.04%
rendered                       2                 0.04%
replacement                    2                 0.04%
reply                          2                 0.04%
reported                       2                 0.04%
reporter                       2                 0.04%
required                       2                 0.04%
requiring                      2                 0.04%
reservation                    2                 0.04%
resistance                     2                 0.04%
resolution                     2                 0.04%
resolved                       2                 0.04%
resorts                        2                 0.04%
respectively                   2                 0.04%
respond                        2                 0.04%
resulting                      2                 0.04%
retain                         2                 0.04%
reverse                        2                 0.04%
reviewing                      2                 0.04%
rhythm                         2                 0.04%
rich                           2                 0.04%
richardson                     2                 0.04%
rides                          2                 0.04%
riding                         2                 0.04%
rim                            2                 0.04%
rio                            2                 0.04%
rn                             2                 0.04%
robin                          2                 0.04%
robot                          2                 0.04%
rogers                         2                 0.04%
roulette                       2                 0.04%
rows                           2                 0.04%
rpm                            2                 0.04%
ru                             2                 0.04%
runtime                        2                 0.04%
rural                          2                 0.04%
rwanda                         2                 0.04%
sacrifice                      2                 0.04%
sales                          2                 0.04%
salon                          2                 0.04%
samoa                          2                 0.04%
samples                        2                 0.04%
samsung                        2                 0.04%
sand                           2                 0.04%
sandra                         2                 0.04%
sapphire                       2                 0.04%
sarah                          2                 0.04%
satisfactory                   2                 0.04%
savannah                       2                 0.04%
saver                          2                 0.04%
saw                            2                 0.04%
sb                             2                 0.04%
scenarios                      2                 0.04%
scotland                       2                 0.04%
screening                      2                 0.04%
screens                        2                 0.04%
screensaver                    2                 0.04%
screenshots                    2                 0.04%
scroll                         2                 0.04%
seattle                        2                 0.04%
sector                         2                 0.04%
seed                           2                 0.04%
seems                          2                 0.04%
seller                         2                 0.04%
semiconductor                  2                 0.04%
senegal                        2                 0.04%
sense                          2                 0.04%
separately                     2                 0.04%
server                         2                 0.04%
servers                        2                 0.04%
sets                           2                 0.04%
settings                       2                 0.04%
sexo                           2                 0.04%
sexually                       2                 0.04%
sf                             2                 0.04%
shade                          2                 0.04%
shakespeare                    2                 0.04%
share                          2                 0.04%
sharing                        2                 0.04%
sheep                          2                 0.04%
shooting                       2                 0.04%
shop                           2                 0.04%
shoppers                       2                 0.04%
shopping                       2                 0.04%
shoppingcom                    2                 0.04%
shopzilla                      2                 0.04%
shore                          2                 0.04%
shorts                         2                 0.04%
showers                        2                 0.04%
shut                           2                 0.04%
side                           2                 0.04%
signals                        2                 0.04%
signing                        2                 0.04%
sim                            2                 0.04%
sing                           2                 0.04%
sink                           2                 0.04%
sitemap                        2                 0.04%
sites                          2                 0.04%
situation                      2                 0.04%
six                            2                 0.04%
size                           2                 0.04%
skip                           2                 0.04%
skirts                         2                 0.04%
skype                          2                 0.04%
sl                             2                 0.04%
slave                          2                 0.04%
slim                           2                 0.04%
smoking                        2                 0.04%
snap                           2                 0.04%
sonic                          2                 0.04%
soonest                        2                 0.04%
sorted                         2                 0.04%
sounds                         2                 0.04%
soup                           2                 0.04%
source                         2                 0.04%
southwest                      2                 0.04%
spa                            2                 0.04%
space                          2                 0.04%
sparc                          2                 0.04%
speakers                       2                 0.04%
spears                         2                 0.04%
specials                       2                 0.04%
specify                        2                 0.04%
specs                          2                 0.04%
