======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 1000
Palabras únicas: 949
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
blues                          1                 0.10%
bolt                           1                 0.10%
bon                            1                 0.10%
boobs                          1                 0.10%
booking                        1                 0.10%
books                          1                 0.10%
booty                          1                 0.10%
boundary                       1                 0.10%
bowling                        1                 0.10%
bra                            1                 0.10%
brake                          1                 0.10%
break                          1                 0.10%
bridal                         1                 0.10%
broadcast                      1                 0.10%
brochure                       1                 0.10%
brooklyn                       1                 0.10%
browsers                       1                 0.10%
bryan                          1                 0.10%
bryant                         1                 0.10%
bt                             1                 0.10%
buck                           1                 0.10%
building                       1                 0.10%
bulletin                       1                 0.10%
burn                           1                 0.10%
burner                         1                 0.10%
buses                          1                 0.10%
cabinet                        1                 0.10%
calculated                     1                 0.10%
calgary                        1                 0.10%
calibration                    1                 0.10%
calling                        1                 0.10%
calvin                         1                 0.10%
camel                          1                 0.10%
cameras                        1                 0.10%
campaigns                      1                 0.10%
canal                          1                 0.10%
cancel                         1                 0.10%
caps                           1                 0.10%
car                            1                 0.10%
cars                           1                 0.10%
cartridges                     1                 0.10%
casa                           1                 0.10%
cashiers                       1                 0.10%
cb                             1                 0.10%
cells                          1                 0.10%
cet                            1                 0.10%
challenges                     1                 0.10%
champions                      1                 0.10%
char                           1                 0.10%
charger                        1                 0.10%
charity                        1                 0.10%
chase                          1                 0.10%
cheap                          1                 0.10%
check                          1                 0.10%
checklist                      1                 0.10%
chelsea                        1                 0.10%
chemicals                      1                 0.10%
cholesterol                    1                 0.10%
christ                         1                 0.10%
christian                      1                 0.10%
christina                      1                 0.10%
christopher                    1                 0.10%
chrome                         1                 0.10%
church                         1                 0.10%
circles                        1                 0.10%
circuits                       1                 0.10%
circular                       1                 0.10%
classic                        1                 0.10%
clearance                      1                 0.10%
closely                        1                 0.10%
cloudy                         1                 0.10%
cluster                        1                 0.10%
collar                         1                 0.10%
collections                    1                 0.10%
colleges                       1                 0.10%
colon                          1                 0.10%
combination                    1                 0.10%
commands                       1                 0.10%
commerce                       1                 0.10%
committees                     1                 0.10%
companies                      1                 0.10%
company                        1                 0.10%
compounds                      1                 0.10%
computational                  1                 0.10%
computing                      1                 0.10%
concentrate                    1                 0.10%
conduct                        1                 0.10%
connector                      1                 0.10%
considerable                   1                 0.10%
consideration                  1                 0.10%
consoles                       1                 0.10%
consumption                    1                 0.10%
contacts                       1                 0.10%
contained                      1                 0.10%
continually                    1                 0.10%
continues                      1                 0.10%
continuously                   1                 0.10%
contrary                       1                 0.10%
contributing                   1                 0.10%
controller                     1                 0.10%
conversion                     1                 0.10%
coordinate                     1                 0.10%
coordinates                    1                 0.10%
copying                        1                 0.10%
core                           1                 0.10%
cork                           1                 0.10%
corp                           1                 0.10%
corporate                      1                 0.10%
corpus                         1                 0.10%
coupled                        1                 0.10%
couples                        1                 0.10%
credits                        1                 0.10%
critics                        1                 0.10%
css                            1                 0.10%
cst                            1                 0.10%
cuisine                        1                 0.10%
currency                       1                 0.10%
curtis                         1                 0.10%
cuts                           1                 0.10%
cv                             1                 0.10%
cycles                         1                 0.10%
dallas                         1                 0.10%
dam                            1                 0.10%
danger                         1                 0.10%
daniel                         1                 0.10%
dating                         1                 0.10%
daughter                       1                 0.10%
dave                           1                 0.10%
dawn                           1                 0.10%
dd                             1                 0.10%
deals                          1                 0.10%
deborah                        1                 0.10%
dec                            1                 0.10%
decent                         1                 0.10%
declaration                    1                 0.10%
decorative                     1                 0.10%
defendant                      1                 0.10%
defense                        1                 0.10%
deferred                       1                 0.10%
define                         1                 0.10%
delaware                       1                 0.10%
deliver                        1                 0.10%
demographic                    1                 0.10%
dental                         1                 0.10%
deny                           1                 0.10%
depend                         1                 0.10%
dependence                     1                 0.10%
depends                        1                 0.10%
designers                      1                 0.10%
destroy                        1                 0.10%
detection                      1                 0.10%
dev                            1                 0.10%
develops                       1                 0.10%
diamond                        1                 0.10%
diffs                          1                 0.10%
dildo                          1                 0.10%
dinner                         1                 0.10%
dip                            1                 0.10%
direction                      1                 0.10%
disciplinary                   1                 0.10%
disclose                       1                 0.10%
discover                       1                 0.10%
discovered                     1                 0.10%
discuss                        1                 0.10%
dish                           1                 0.10%
dishes                         1                 0.10%
disposal                       1                 0.10%
dispute                        1                 0.10%
distinct                       1                 0.10%
distributions                  1                 0.10%
diversity                      1                 0.10%
dividend                       1                 0.10%
division                       1                 0.10%
doctors                        1                 0.10%
dos                            1                 0.10%
downloadable                   1                 0.10%
draws                          1                 0.10%
dresses                        1                 0.10%
dried                          1                 0.10%
drinks                         1                 0.10%
drive                          1                 0.10%
drivers                        1                 0.10%
drunk                          1                 0.10%
dsc                            1                 0.10%
dts                            1                 0.10%
duncan                         1                 0.10%
durable                        1                 0.10%
duties                         1                 0.10%
dvds                           1                 0.10%
ear                            1                 0.10%
earn                           1                 0.10%
eating                         1                 0.10%
edition                        1                 0.10%
eds                            1                 0.10%
ef                             1                 0.10%
effective                      1                 0.10%
effects                        1                 0.10%
electrical                     1                 0.10%
elsewhere                      1                 0.10%
emergency                      1                 0.10%
employee                       1                 0.10%
enclosure                      1                 0.10%
encryption                     1                 0.10%
ending                         1                 0.10%
energy                         1                 0.10%
engaged                        1                 0.10%
engineering                    1                 0.10%
enhancement                    1                 0.10%
entering                       1                 0.10%
entertainment                  1                 0.10%
epic                           1                 0.10%
equilibrium                    1                 0.10%
equipped                       1                 0.10%
equivalent                     1                 0.10%
erp                            1                 0.10%
es                             1                 0.10%
escort                         1                 0.10%
espn                           1                 0.10%
est                            1                 0.10%
estimates                      1                 0.10%
estonia                        1                 0.10%
etc                            1                 0.10%
ethics                         1                 0.10%
everywhere                     1                 0.10%
ex                             1                 0.10%
exactly                        1                 0.10%
existence                      1                 0.10%
exists                         1                 0.10%
expansion                      1                 0.10%
expect                         1                 0.10%
expired                        1                 0.10%
explain                        1                 0.10%
explosion                      1                 0.10%
extent                         1                 0.10%
far                            1                 0.10%
favorite                       1                 0.10%
federal                        1                 0.10%
feelings                       1                 0.10%
fields                         1                 0.10%
fifth                          1                 0.10%
filed                          1                 0.10%
finally                        1                 0.10%
finds                          1                 0.10%
flickr                         1                 0.10%
flying                         1                 0.10%
focus                          1                 0.10%
focused                        1                 0.10%
focusing                       1                 0.10%
folder                         1                 0.10%
folding                        1                 0.10%
foods                          1                 0.10%
foreign                        1                 0.10%
forgot                         1                 0.10%
forms                          1                 0.10%
fort                           1                 0.10%
fragrances                     1                 0.10%
france                         1                 0.10%
fraud                          1                 0.10%
freelance                      1                 0.10%
frequently                     1                 0.10%
fridge                         1                 0.10%
fs                             1                 0.10%
ft                             1                 0.10%
ftp                            1                 0.10%
ga                             1                 0.10%
gamespot                       1                 0.10%
gateway                        1                 0.10%
gathered                       1                 0.10%
gd                             1                 0.10%
ge                             1                 0.10%
gi                             1                 0.10%
gibraltar                      1                 0.10%
gifts                          1                 0.10%
gl                             1                 0.10%
glenn                          1                 0.10%
gloves                         1                 0.10%
glow                           1                 0.10%
goat                           1                 0.10%
governor                       1                 0.10%
grad                           1                 0.10%
grande                         1                 0.10%
great                          1                 0.10%
greece                         1                 0.10%
grid                           1                 0.10%
grown                          1                 0.10%
gtk                            1                 0.10%
guard                          1                 0.10%
hamburg                        1                 0.10%
handed                         1                 0.10%
harbour                        1                 0.10%
harold                         1                 0.10%
harper                         1                 0.10%
have                           1                 0.10%
hawaii                         1                 0.10%
hdtv                           1                 0.10%
held                           1                 0.10%
helen                          1                 0.10%
hindu                          1                 0.10%
hint                           1                 0.10%
hispanic                       1                 0.10%
hole                           1                 0.10%
honors                         1                 0.10%
hospitals                      1                 0.10%
hosting                        1                 0.10%
hosts                          1                 0.10%
hourly                         1                 0.10%
however                        1                 0.10%
hu                             1                 0.10%
humanities                     1                 0.10%
hungarian                      1                 0.10%
hurricane                      1                 0.10%
hybrid                         1                 0.10%
icons                          1                 0.10%
ieee                           1                 0.10%
ii                             1                 0.10%
iii                            1                 0.10%
ill                            1                 0.10%
illness                        1                 0.10%
im                             1                 0.10%
imperial                       1                 0.10%
import                         1                 0.10%
impressed                      1                 0.10%
improvement                    1                 0.10%
incorporated                   1                 0.10%
increases                      1                 0.10%
incredible                     1                 0.10%
indicating                     1                 0.10%
inf                            1                 0.10%
infections                     1                 0.10%
informal                       1                 0.10%
inn                            1                 0.10%
innocent                       1                 0.10%
inns                           1                 0.10%
install                        1                 0.10%
instances                      1                 0.10%
insulin                        1                 0.10%
interaction                    1                 0.10%
invention                      1                 0.10%
investments                    1                 0.10%
invitations                    1                 0.10%
io                             1                 0.10%
ion                            1                 0.10%
iron                           1                 0.10%
isolation                      1                 0.10%
items                          1                 0.10%
itself                         1                 0.10%
jeep                           1                 0.10%
jeff                           1                 0.10%
jeremy                         1                 0.10%
jm                             1                 0.10%
julian                         1                 0.10%
just                           1                 0.10%
kansas                         1                 0.10%
kernel                         1                 0.10%
killed                         1                 0.10%
killing                        1                 0.10%
kinds                          1                 0.10%
klein                          1                 0.10%
knives                         1                 0.10%
korea                          1                 0.10%
lab                            1                 0.10%
labor                          1                 0.10%
lake                           1                 0.10%
lakes                          1                 0.10%
languages                      1                 0.10%
lately                         1                 0.10%
latin                          1                 0.10%
latvia                         1                 0.10%
lawsuit                        1                 0.10%
leadership                     1                 0.10%
learned                        1                 0.10%
leasing                        1                 0.10%
leave                          1                 0.10%
legacy                         1                 0.10%
legislative                    1                 0.10%
lenders                        1                 0.10%
leu                            1                 0.10%
levitra                        1                 0.10%
liable                         1                 0.10%
lil                            1                 0.10%
limousines                     1                 0.10%
lincoln                        1                 0.10%
linear                         1                 0.10%
linking                        1                 0.10%
literacy                       1                 0.10%
little                         1                 0.10%
locking                        1                 0.10%
logging                        1                 0.10%
longest                        1                 0.10%
lookup                         1                 0.10%
lots                           1                 0.10%
lows                           1                 0.10%
lucy                           1                 0.10%
luke                           1                 0.10%
ma                             1                 0.10%
macintosh                      1                 0.10%
macromedia                     1                 0.10%
mad                            1                 0.10%
mag                            1                 0.10%
mailman                        1                 0.10%
males                          1                 0.10%
man                            1                 0.10%
marble                         1                 0.10%
maria                          1                 0.10%
marker                         1                 0.10%
married                        1                 0.10%
mary                           1                 0.10%
math                           1                 0.10%
medicines                      1                 0.10%
merchants                      1                 0.10%
mercury                        1                 0.10%
mesh                           1                 0.10%
meta                           1                 0.10%
metallica                      1                 0.10%
mexican                        1                 0.10%
mh                             1                 0.10%
microsoft                      1                 0.10%
midlands                       1                 0.10%
milf                           1                 0.10%
millennium                     1                 0.10%
miss                           1                 0.10%
mod                            1                 0.10%
monetary                       1                 0.10%
mongolia                       1                 0.10%
monroe                         1                 0.10%
month                          1                 0.10%
morgan                         1                 0.10%
moss                           1                 0.10%
motivated                      1                 0.10%
mountain                       1                 0.10%
mozambique                     1                 0.10%
mt                             1                 0.10%
much                           1                 0.10%
murder                         1                 0.10%
myspace                        1                 0.10%
namely                         1                 0.10%
nano                           1                 0.10%
native                         1                 0.10%
nc                             1                 0.10%
nearly                         1                 0.10%
negotiations                   1                 0.10%
networking                     1                 0.10%
newsletter                     1                 0.10%
newsletters                    1                 0.10%
newspaper                      1                 0.10%
nice                           1                 0.10%
nightmare                      1                 0.10%
nikon                          1                 0.10%
noise                          1                 0.10%
nokia                          1                 0.10%
none                           1                 0.10%
notification                   1                 0.10%
np                             1                 0.10%
nu                             1                 0.10%
nyc                            1                 0.10%
nz                             1                 0.10%
obituaries                     1                 0.10%
observe                        1                 0.10%
observed                       1                 0.10%
occur                          1                 0.10%
ocean                          1                 0.10%
oecd                           1                 0.10%
of                             1                 0.10%
offensive                      1                 0.10%
offer                          1                 0.10%
often                          1                 0.10%
oklahoma                       1                 0.10%
oman                           1                 0.10%
omega                          1                 0.10%
once                           1                 0.10%
opened                         1                 0.10%
openings                       1                 0.10%
opera                          1                 0.10%
operates                       1                 0.10%
operation                      1                 0.10%
opponents                      1                 0.10%
or                             1                 0.10%
organ                          1                 0.10%
organised                      1                 0.10%
ourselves                      1                 0.10%
output                         1                 0.10%
outreach                       1                 0.10%
oval                           1                 0.10%
oven                           1                 0.10%
overnight                      1                 0.10%
owen                           1                 0.10%
own                            1                 0.10%
pace                           1                 0.10%
packet                         1                 0.10%
panel                          1                 0.10%
paper                          1                 0.10%
parameter                      1                 0.10%
partial                        1                 0.10%
partly                         1                 0.10%
partnership                    1                 0.10%
partnerships                   1                 0.10%
pas                            1                 0.10%
passwords                      1                 0.10%
patent                         1                 0.10%
patients                       1                 0.10%
paxil                          1                 0.10%
payable                        1                 0.10%
pb                             1                 0.10%
pdf                            1                 0.10%
peaceful                       1                 0.10%
penalties                      1                 0.10%
penalty                        1                 0.10%
performances                   1                 0.10%
performs                       1                 0.10%
periodically                   1                 0.10%
pharmacy                       1                 0.10%
photograph                     1                 0.10%
photographic                   1                 0.10%
phpbb                          1                 0.10%
physiology                     1                 0.10%
picking                        1                 0.10%
pictures                       1                 0.10%
pilot                          1                 0.10%
pin                            1                 0.10%
pioneer                        1                 0.10%
pipes                          1                 0.10%
placing                        1                 0.10%
plaintiff                      1                 0.10%
plenty                         1                 0.10%
pm                             1                 0.10%
pmc                            1                 0.10%
pocket                         1                 0.10%
pointing                       1                 0.10%
poland                         1                 0.10%
popular                        1                 0.10%
portugal                       1                 0.10%
pose                           1                 0.10%
postal                         1                 0.10%
potential                      1                 0.10%
powerful                       1                 0.10%
practitioner                   1                 0.10%
predict                        1                 0.10%
preference                     1                 0.10%
prefers                        1                 0.10%
preparation                    1                 0.10%
preparing                      1                 0.10%
prerequisite                   1                 0.10%
presentation                   1                 0.10%
prev                           1                 0.10%
previous                       1                 0.10%
processes                      1                 0.10%
procurement                    1                 0.10%
producers                      1                 0.10%
producing                      1                 0.10%
productivity                   1                 0.10%
programme                      1                 0.10%
promises                       1                 0.10%
promoting                      1                 0.10%
prophet                        1                 0.10%
proposals                      1                 0.10%
prostate                       1                 0.10%
proteins                       1                 0.10%
protest                        1                 0.10%
protocol                       1                 0.10%
protocols                      1                 0.10%
proud                          1                 0.10%
prove                          1                 0.10%
pubs                           1                 0.10%
puppy                          1                 0.10%
puts                           1                 0.10%
qualifications                 1                 0.10%
quarter                        1                 0.10%
queen                          1                 0.10%
queensland                     1                 0.10%
question                       1                 0.10%
racks                          1                 0.10%
ran                            1                 0.10%
rapid                          1                 0.10%
rates                          1                 0.10%
reactions                      1                 0.10%
real                           1                 0.10%
recall                         1                 0.10%
received                       1                 0.10%
recommend                      1                 0.10%
recovered                      1                 0.10%
reduced                        1                 0.10%
regard                         1                 0.10%
region                         1                 0.10%
regional                       1                 0.10%
registrar                      1                 0.10%
regression                     1                 0.10%
relief                         1                 0.10%
reload                         1                 0.10%
renewal                        1                 0.10%
repeated                       1                 0.10%
replaced                       1                 0.10%
replacing                      1                 0.10%
reply                          1                 0.10%
represented                    1                 0.10%
represents                     1                 0.10%
reproduction                   1                 0.10%
reproductive                   1                 0.10%
reserve                        1                 0.10%
residential                    1                 0.10%
resolved                       1                 0.10%
respiratory                    1                 0.10%
responsible                    1                 0.10%
resumes                        1                 0.10%
retailers                      1                 0.10%
retrieved                      1                 0.10%
reviewing                      1                 0.10%
ribbon                         1                 0.10%
risk                           1                 0.10%
robust                         1                 0.10%
roger                          1                 0.10%
rolled                         1                 0.10%
roof                           1                 0.10%
rr                             1                 0.10%
ruby                           1                 0.10%
rugs                           1                 0.10%
runner                         1                 0.10%
rush                           1                 0.10%
safer                          1                 0.10%
saint                          1                 0.10%
saints                         1                 0.10%
sake                           1                 0.10%
salvador                       1                 0.10%
samoa                          1                 0.10%
sandwich                       1                 0.10%
sarah                          1                 0.10%
satellite                      1                 0.10%
scanned                        1                 0.10%
scenarios                      1                 0.10%
scheduling                     1                 0.10%
sciences                       1                 0.10%
scuba                          1                 0.10%
sculpture                      1                 0.10%
seal                           1                 0.10%
seasonal                       1                 0.10%
seat                           1                 0.10%
sen                            1                 0.10%
sending                        1                 0.10%
seniors                        1                 0.10%
settings                       1                 0.10%
sexcam                         1                 0.10%
sexy                           1                 0.10%
sf                             1                 0.10%
shark                          1                 0.10%
shelter                        1                 0.10%
shemale                        1                 0.10%
shemales                       1                 0.10%
shift                          1                 0.10%
shipping                       1                 0.10%
shirt                          1                 0.10%
shoppercom                     1                 0.10%
shore                          1                 0.10%
showed                         1                 0.10%
shut                           1                 0.10%
side                           1                 0.10%
silly                          1                 0.10%
similar                        1                 0.10%
simple                         1                 0.10%
simulations                    1                 0.10%
sitting                        1                 0.10%
sk                             1                 0.10%
skills                         1                 0.10%
slip                           1                 0.10%
slowly                         1                 0.10%
smooth                         1                 0.10%
snake                          1                 0.10%
so                             1                 0.10%
solo                           1                 0.10%
somebody                       1                 0.10%
somehow                        1                 0.10%
something                      1                 0.10%
song                           1                 0.10%
soonest                        1                 0.10%
sought                         1                 0.10%
source                         1                 0.10%
southwest                      1                 0.10%
spec                           1                 0.10%
specifics                      1                 0.10%
specified                      1                 0.10%
speed                          1                 0.10%
spending                       1                 0.10%
spent                          1                 0.10%
spice                          1                 0.10%
spotlight                      1                 0.10%
springs                        1                 0.10%
sr                             1                 0.10%
staff                          1                 0.10%
stage                          1                 0.10%
stan                           1                 0.10%
starring                       1                 0.10%
start                          1                 0.10%
stations                       1                 0.10%
stay                           1                 0.10%
stayed                         1                 0.10%
stays                          1                 0.10%
stewart                        1                 0.10%
stories                        1                 0.10%
streets                        1                 0.10%
stress                         1                 0.10%
stretch                        1                 0.10%
strict                         1                 0.10%
strike                         1                 0.10%
strips                         1                 0.10%
students                       1                 0.10%
studies                        1                 0.10%
stuff                          1                 0.10%
subject                        1                 0.10%
subjects                       1                 0.10%
subsidiaries                   1                 0.10%
substances                     1                 0.10%
successfully                   1                 0.10%
sue                            1                 0.10%
suggested                      1                 0.10%
summer                         1                 0.10%
supporting                     1                 0.10%
sv                             1                 0.10%
swap                           1                 0.10%
switch                         1                 0.10%
sword                          1                 0.10%
syndicate                      1                 0.10%
synthesis                      1                 0.10%
tactics                        1                 0.10%
tahoe                          1                 0.10%
taking                         1                 0.10%
talked                         1                 0.10%
tall                           1                 0.10%
tb                             1                 0.10%
tea                            1                 0.10%
teaching                       1                 0.10%
tear                           1                 0.10%
telecharger                    1                 0.10%
telecom                        1                 0.10%
tell                           1                 0.10%
tenant                         1                 0.10%
tender                         1                 0.10%
tennessee                      1                 0.10%
tested                         1                 0.10%
texas                          1                 0.10%
textile                        1                 0.10%
the                            1                 0.10%
theaters                       1                 0.10%
theoretical                    1                 0.10%
thirty                         1                 0.10%
threatening                    1                 0.10%
thriller                       1                 0.10%
thunder                        1                 0.10%
tiger                          1                 0.10%
timeline                       1                 0.10%
tin                            1                 0.10%
tire                           1                 0.10%
tits                           1                 0.10%
today                          1                 0.10%
toe                            1                 0.10%
token                          1                 0.10%
tokyo                          1                 0.10%
toll                           1                 0.10%
tones                          1                 0.10%
tools                          1                 0.10%
tower                          1                 0.10%
tragedy                        1                 0.10%
transform                      1                 0.10%
translate                      1                 0.10%
trap                           1                 0.10%
travelling                     1                 0.10%
treatment                      1                 0.10%
tribe                          1                 0.10%
trigger                        1                 0.10%
trip                           1                 0.10%
tue                            1                 0.10%
turn                           1                 0.10%
u                              1                 0.10%
uh                             1                 0.10%
ultram                         1                 0.10%
understanding                  1                 0.10%
unfortunately                  1                 0.10%
unified                        1                 0.10%
unlock                         1                 0.10%
update                         1                 0.10%
updating                       1                 0.10%
upon                           1                 0.10%
ur                             1                 0.10%
uruguay                        1                 0.10%
usb                            1                 0.10%
usps                           1                 0.10%
vacancies                      1                 0.10%
var                            1                 0.10%
variable                       1                 0.10%
variance                       1                 0.10%
variations                     1                 0.10%
vault                          1                 0.10%
vermont                        1                 0.10%
vernon                         1                 0.10%
verse                          1                 0.10%
vhs                            1                 0.10%
via                            1                 0.10%
villages                       1                 0.10%
vintage                        1                 0.10%
virtual                        1                 0.10%
virus                          1                 0.10%
vital                          1                 0.10%
vol                            1                 0.10%
voyuer                         1                 0.10%
vsnet                          1                 0.10%
vulnerability                  1                 0.10%
wagon                          1                 0.10%
walked                         1                 0.10%
walking                        1                 0.10%
wallpaper                      1                 0.10%
wang                           1                 0.10%
war                            1                 0.10%
warning                        1                 0.10%
warranties                     1                 0.10%
was                            1                 0.10%
washington                     1                 0.10%
watches                        1                 0.10%
wav                            1                 0.10%
weak                           1                 0.10%
weapons                        1                 0.10%
wearing                        1                 0.10%
website                        1                 0.10%
wedding                        1                 0.10%
weekly                         1                 0.10%
wild                           1                 0.10%
win                            1                 0.10%
winston                        1                 0.10%
wishlist                       1                 0.10%
with                           1                 0.10%
words                          1                 0.10%
work                           1                 0.10%
worker                         1                 0.10%
worry                          1                 0.10%
would                          1                 0.10%
wound                          1                 0.10%
wv                             1                 0.10%
y                              1                 0.10%
yellow                         1                 0.10%
yet                            1                 0.10%
yourself                       1                 0.10%
yu                             1                 0.10%
yukon                          1                 0.10%
z                              1                 0.10%
zen                            1                 0.10%
======================================================================
Tiempo de ejecución: 0.001598 segundos
======================================================================
